 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
-87093.6616770818,-7528.492215692069,-30057.62011499645,-34465.85350821656
-86708.9658032615,-7695.415043284303,-30287.64191718601,-34458.27626684622
-89372.04204464461,-7838.957946176285,-30436.92921840301,-34335.05109966411
-90608.40643744546,-7734.083561191984,-30304.405725527493,-34307.334936539526
-89739.39296476758,-7589.31131235496,-30144.05431080512,-34362.767262788686
-86982.43939667218,-7491.365968151805,-30054.35676030597,-34462.90307794846
-86793.65656300266,-7695.280932817571,-30297.0520016017,-34451.57074350962
-89473.49661272725,-7835.538129274622,-30431.006006122352,-34333.330015341046
-90610.75337061328,-7730.976668712697,-30296.42615275695,-34310.24066331871
-89634.98796641684,-7582.40462331827,-30141.14858402593,-34368.019922735686
-86873.36288373028,-7488.43788962816,-30061.66578074286,-34467.30637160616
-86868.57961041685,-7702.634656743367,-30314.799286699214,-34447.547429507664
-89545.15630545096,-7829.50315827169,-30442.763023705844,-34335.72165199777
-90590.9273732814,-7721.991267441663,-30310.395993041515,-34319.51663726767
-89525.86674998603,-7569.664128978745,-30140.96977007029,-34369.09280646954
-86768.44379525707,-7481.821773269388,-30066.71727498976,-34461.3831593255
-86952.2198381686,-7717.453863317235,-30329.48438280635,-34438.71849044782
-89619.58761448713,-7847.786885236131,-30434.559933490746,-34327.98794841623
-90574.85646901804,-7738.643317060866,-30293.56512946667,-34316.72266921076
-89414.91269050988,-7590.138326899806,-30125.07767976257,-34373.876079782975
-86673.3594743442,-7520.333828965882,-30067.879565701434,-34470.59207804109
-87051.12630738334,-7753.82015154602,-30340.280275378263,-34440.17135383742
-89698.2657549698,-7845.059972412583,-30429.68725319949,-34325.149276870405
-90557.46681183182,-7713.788177226565,-30288.55833870868,-34316.38739304392
-89295.59907860745,-7552.632099703801,-30123.73657509525,-34372.78084430467
-86584.42188315652,-7493.847011786343,-30081.67059203036,-34465.92056344993
-87139.75097414863,-7730.887261734875,-30351.90318249502,-34425.41920249692
-89764.24810460188,-7835.940460674818,-30432.43651776749,-34323.09291638052
